prev_finger,curr_finger,time_delay
LM,RT,0.3309481143951416
RM,RI,0.06796526908874512
RI,LM,0.14999628067016602
LM,LI,0.2200002670288086
LI,LM,0.08400154113769531
LM,LP,0.1379995346069336
LP,LR,0.10999941825866699
LR,LM,0.09300374984741211
LM,LM,0.253002405166626
LM,RT,0.2169954776763916
LM,LM,0.16899824142456055
LM,LI,0.2010023593902588
LI,RR,0.10899949073791504
RR,LI,0.15400052070617676
LI,RM,0.08699727058410645
RM,RR,0.061002492904663086
RR,RI,0.07399845123291016
RI,RT,0.07000136375427246
LI,RR,0.1119682788848877
RR,RT,0.03699922561645508
LI,RI,0.09299921989440918
RI,LP,0.06599760055541992
LP,LI,0.07600212097167969
LI,RT,0.06599974632263184
LM,LP,0.18500161170959473
LP,RI,0.1639995574951172
RI,LR,0.04200029373168945
LR,LM,0.07199811935424805
LM,RT,0.10799860954284668
LI,RR,0.11099863052368164
RR,LI,0.0989992618560791
LI,RT,0.12600207328796387
LR,RI,0.11403822898864746
RI,RM,0.06396770477294922
RM,LM,0.10599446296691895
LM,RI,0.09600186347961426
RI,RT,0.07599759101867676
LI,RI,0.12299990653991699
RI,LM,0.11899590492248535
LM,RI,0.13100337982177734
RI,RT,0.11699652671813965
RI,LM,0.0690007209777832
LM,LI,0.09700417518615723
LI,LM,0.12599873542785645
LM,RT,0.12699484825134277
LI,LP,0.14200043678283691
LP,LI,0.14405608177185059
LI,LM,0.18900227546691895
LM,RT,0.13594317436218262
LI,RI,0.1039426326751709
RI,LM,0.07303428649902344
LM,RT,0.0960228443145752
RR,LP,0.28000450134277344
LP,LR,0.10699701309204102
LR,LI,0.14100217819213867
LI,RT,0.12400197982788086
